response_pattern,n,denominator,interpretation,percent,ci95_low,ci95_high
Positive measure(s) selected; “no specific measures” not selected,121,172,Conservative positive-preparation classification,70.3,63.1,76.7
Both positive measure(s) and “no specific measures” selected,13,172,Overlapping response retained in the primary indicator and reported separately,7.6,4.5,12.5
Only “no specific measures” selected,38,172,No positive preparation selection,22.1,16.5,28.9
Neither positive measure nor “no specific measures” selected,0,172,Not observed,0.0,0.0,2.2
"Any positive preparation measure, irrespective of overlap",134,172,Primary descriptive indicator,77.9,71.1,83.5
"Any positive preparation measure, excluding overlap",121,172,Conservative sensitivity indicator,70.3,63.1,76.7
