scenario,population_active_cramers_v,population_broad_cramers_v,population_delta_cramers_v,mean_observed_delta_cramers_v,mcse_mean_observed_delta_cramers_v,probability_broad_association_stronger,mcse_broad_association_stronger,probability_any_order_disagreement,mcse_any_order_disagreement,probability_any_strict_reversal,mcse_any_strict_reversal,mean_project_share_of_broad_positive,mcse_mean_project_share
null_same_mixture,0.0,0.0,0.0,0.0003627178353278049,0.00043104997614340474,0.4985,0.007905658574717226,0.6845,0.007347784530047135,0.562,0.007844679725775934,0.4999429218554324,0.0004534544304634371
aligned_gradient,0.28284271247461906,0.4898979485566356,0.20705523608201654,0.20662873876156176,0.00047685398170901953,1.0,0.0,0.0,0.0,0.0,0.0,0.49957051442370537,0.0004111454764076089
project_only_gradient,0.0,0.3282439759448873,0.3282439759448873,0.2844402180382368,0.0006399272007485825,1.0,0.0,0.848,0.005676618711874174,0.80075,0.006315644019021339,0.5555336661657723,0.00042020363650452776
compensating_gradient,0.282842712474619,0.0,-0.282842712474619,-0.23819033799484118,0.0006397179788537161,0.0,0.0,0.8465,0.0056995120405171525,0.81,0.0062028219384405985,0.5000530706963565,0.0003880854717872535
rank_reversal,0.282842712474619,0.20733167953635667,-0.07551103293826233,-0.07532111140317625,0.0009409857877576399,0.10425,0.0048317165039973116,1.0,0.0,1.0,0.0,0.5585930244247588,0.0003420506734082597
mixed_order,0.23233009432114632,0.09433332612731576,-0.13799676819383055,-0.13421405590899999,0.0008464316041932299,0.006,0.001221065108829173,0.991,0.0014932347437693787,0.9865,0.0018246746285296973,0.447592824125121,0.00038620676300558915
