figure_id,figure_title,source_data_file,input_files,output_files,png_sha256,generated_utc,generation_script,style_note
Figure_1_AI_readiness_ladder,AI readiness ladder by analytical sample,outputs/figure_source_data/Figure_1_AI_readiness_ladder_source.csv,outputs/tables/frequency_tables_by_scope.csv,outputs/figures_editorial/Figure_1_AI_readiness_ladder.png; outputs/figures/Figure_1_AI_readiness_ladder.png,724ec63f1f5f834e34ed90117f3214234a3fa60c8852e32c2eee28a7fab0c308,2026-07-06T20:03:52.997917+00:00,scripts/06_generate_figures.py,Grouped horizontal bar chart; grayscale; no internal title; caption carries figure title.
Figure_2_SME_barriers,Perceived barriers among SME respondents,outputs/figure_source_data/Figure_2_SME_barriers_source.csv,outputs/tables/frequency_tables_by_scope.csv,outputs/figures_editorial/Figure_2_SME_barriers.png; outputs/figures/Figure_2_SME_barriers.png,8ba864e63b58fd7e554412707c70443f24f12c8bc9413979b00c56e772bbe0f7,2026-07-06T20:03:53.166423+00:00,scripts/06_generate_figures.py,Single-sample horizontal bar chart; labels wrapped to avoid clipping.
Figure_3_SME_workforce_preparation,Workforce preparation measures among SME respondents,outputs/figure_source_data/Figure_3_SME_workforce_preparation_source.csv,outputs/tables/frequency_tables_by_scope.csv,outputs/figures_editorial/Figure_3_SME_workforce_preparation.png; outputs/figures/Figure_3_SME_workforce_preparation.png,b6918b842086f5708b567f70d7edfbbfca06582970b467033c333106a8933799,2026-07-06T20:03:53.335119+00:00,scripts/06_generate_figures.py,Single-sample horizontal bar chart; labels wrapped to avoid clipping.
Figure_4_workforce_governance_orientation,Selected workforce and governance outcomes among SME respondents,outputs/figure_source_data/Figure_4_workforce_governance_orientation_source.csv,outputs/tables/figure_4_governance_orientation_inputs.csv,outputs/figures_editorial/Figure_4_workforce_governance_orientation.png; outputs/figures/Figure_4_workforce_governance_orientation.png,56522f36181cae2c7517760b49e4b5f2ca11733d1d349929458dda1af1131c50,2026-07-06T20:03:53.487304+00:00,scripts/06_generate_figures.py,Composite outcome chart generated from tabulated source values; long labels kept within the plot area.
Supplementary_Figure_S1_capability_pressure,Active AI use by cost/expertise capability-pressure category,outputs/figure_source_data/Supplementary_Figure_S1_capability_pressure_source.csv,outputs/tables/figure_S1_capability_pressure_inputs.csv,outputs/figures_editorial/Supplementary_Figure_S1_capability_pressure.png; outputs/figures/Supplementary_Figure_S1_capability_pressure.png,b0b2414bc451367def2e68a26b8a1093bc133f9cd620618c4c9297993344f2db,2026-07-06T20:03:53.603315+00:00,scripts/06_generate_figures.py,SME-only horizontal chart with Wilson intervals; value labels offset from interval whiskers.
Optional_Conceptual_Figure_capability_governance_model,Conceptual synthesis: capability pressure under responsible-AI governance,outputs/figure_source_data/Conceptual_Figure_nodes.csv; outputs/figure_source_data/Conceptual_Figure_edges.csv,scripts/06_generate_figures.py node/edge specification,outputs/figures_editorial/Optional_Conceptual_Figure_capability_governance_model.png; outputs/figures/Optional_Conceptual_Figure_capability_governance_model.png,a9b439f98d32cf0d344cbc0ae7ea2413a49b60cf5d6891c82389a6480c863bdd,2026-07-06T20:03:53.779146+00:00,scripts/06_generate_figures.py,Optional conceptual figure; generated from explicit node/edge tables; arrows terminate at box boundaries.
